obsid,leadid,ccode,"
idacr",leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur,Living_Abroad_Civilian,Military_Service_Abroad,Diplomatic,First_Gen_Immigrant,Study_Abroad_Civilian,Study_Abroad_Military,Exile_Abroad,Living_Abroad_Under_18,Foreign_Language,Which_language,foreign_country_1,Year_Arrival_Country_1,Year_Departure_Country_1,Country_1_military_only,foreign_country_2,Year_Arrival_Country_2,Year_Departure_Country_2,Country_2_military_only,foreign_country_3,Year_Arrival_Country_3,Year_Departure_Country_3,Country_3_military_only,foreign_country_n,Year of first departure,Year of final return,Multiple Foreign Experience,Less than one year,Between 1 and 5 years,Between 5 and 10 years,More than 10 years,travel/Tourism,travel_country_1,travel_country_2,travel_country_3,Notes,Sources,Coder_1,Coder_2 ,Coder_3,Revision_Coder_2_3,Revision Note
AFG-1868,19799c28-3bbd-11e5-afeb-eb6f07f9fec7,700,AFG,Shir `Ali Khan,1868-09-08,08sep1868,1879-02-21,21feb1879,Irregular,Regular,Regular,1,Exile,M,1825,1879,NA,,1879-02-21,21feb1879,NA,1,1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"""Afghanistan, A Study in Internal Political Developments, 1880-1896 – Kakar History Foundation"". Retrieved 4 December 2021.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1879-1,82429dc2-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Ya`qub Khan,1879-02-21,21feb1879,1879-10-12,12oct1879,Regular,Foreign,Unknown,0,Exile,M,1849,1923,NA,,NA,,NA,0,4,-999,1,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"Chisholm, Hugh, ed. (1911). ""Yakub Khan"" . Encyclopædia Britannica. Vol. 28 (11th ed.). Cambridge University Press. p. 898.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1879-2,82429dc3-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Jan,1879-10-12,12oct1879,1880-03-31,31mar1880,Foreign Imposition,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,-999,1880,NA,,1880-03-31,31mar1880,NA,2,2,0,-777,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"Adamec, Ludwig W. Historical dictionary of Afghanistan. Scarecrow Press, 2011.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1880,82429dc4-1e42-11e4-b4cd-db5882bf8def,700,AFG,Abdor Rahman Khan,1880-07-22,22jul1880,1901-10-03,10/3/1901,Foreign Imposition,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1844,1901,NA,,10/3/1901,10/3/1901,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Abdur-5FRahman-5FKhan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ONrSBlyi25YhXqjo_nqnzu2uyjAWZKYSj5kFSzbtSRA&e=,2,2,0,-777,NA,NA,1,0,0,0,0,0,1,0,0,,UZB,1869,1880,0,,,,,,,,,,1869,1880,0,0,0,0,1,0,,,,Abdur Rahman lived in exile in Tashkent in 1880,"Dupree, Louis (1980). Afghanistan. Princeton University Press. p. 417. ISBN 0-691-03006-5. ""Born in Kabul in 1844, Abdur Rahman Khan spent most of his youth in Balkh with his farther, Mohammad Afzal Khan. Abdur Rahman learned conventional warfare tactics from the Anglo-Indian soldier of fortune, William Campbell.""",Qi Jing,Qi Jing,Tongtong,0,
AFG-1901,8242ce94-1e42-11e4-b4cd-db5882bf8def,700,AFG,Habibullah Khan,1901-10-03,10/3/1901,1919-02-20,2/20/1919,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1872,1919,1872-07-03,03jul1872,2/20/1919,2/20/1919,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Habibullah-5FKhan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=x57cqsfMAaRglgqf_WWecJWp7qTQqOV2k9Vx2GJfiSk&e=,0,3,11,3,NA,NA,1,0,0,0,0,0,0,0,0,,UZB,,,,,,,,,,,,,,,,,,,,,,,,he was born in Uzbekistan,"Vogelsang, Willem (2001), The Afghans, Wiley, ISBN 978-0-631-19841-3",Qi Jing,Qi Jing,Tongtong,0,
AFG-1920,8242ce95-1e42-11e4-b4cd-db5882bf8def,700,AFG,Amanullah Khan,1920-01-01,1/1/1920,1929-01-14,1/14/1929,Irregular,Regular,Regular,0,Exile,M,1892,1960,1892-06-01,01jun1892,4/25/1960,4/25/1960,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Amanullah-5FKhan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=dlqCPliQvhyuwNnFtsbjapgi-BggXWAfd5wJRdUTznU&e=,1,1,0,1,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,Exile in British-India and Europe happened after he was replaced by another king.,"Rashikh, Jawan Shir (2017). Nationalism in Afghanistan. Kabul, Afghanistan: Academia. pp. 1–143. ISBN 9780060505080.",Qi Jing,Qi Jing,Tongtong,1,Exile in British-India and Europe happened after he was replaced by another king.
AFG-1929-1,8242ce96-1e42-11e4-b4cd-db5882bf8def,700,AFG,Inayatullah Khan,1929-01-14,1/14/1929,1929-01-17,1/17/1929,Regular,Irregular,"Removed by Rebels, without Foreign Support",0,Exile,M,1888,1946,1888-10-20,20oct1888,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Inayatullah-5FKhan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=hetO8NZAaQvomR8hIzcfNNLl5T6motXfD3scS_1PpRk&e=,0,3,4,1,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"Mu?ammad, Fayz?; Haz?rah, Fayz? Mu?ammad K?tib (1999). Kabul Under Siege: Fayz Muhammad's Account of the 1929 Uprising. Markus Wiener Publishers. pp. 232, 233. ISBN 9781558761551.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1929-2,8242ce97-1e42-11e4-b4cd-db5882bf8def,700,AFG,Habibullah Ghazi,1929-01-17,1/17/1929,1929-10-17,10/17/1929,Irregular,Irregular,"Removed by Rebels, without Foreign Support",0,Death,M,1890,1929,NA,,NA,,NA,1,3,4,3,NA,NA,1,0,0,0,0,0,1,0,0,,PAK,,,,,,,,,,,,,,,,,,,,,,,,,"Mu?ammad, Fayz?; Haz?rah, Fayz? Mu?ammad K?tib; Mu?ammad, Fai? (1999). Kabul Under Siege: Fayz Muhammad's Account of the 1929 Uprising. Markus Wiener Publishers. p. 236. ISBN 978-1-55876-155-1.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1929-3,8242ff72-1e42-11e4-b4cd-db5882bf8def,700,AFG,Nadir Shah,1929-10-17,10/17/1929,1933-11-08,11/8/1933,Irregular,Irregular,Assassination by Unsupported Individual,0,Death,M,1880,1933,1880-04-10,10apr1880,NA,,NA,1,3,11,3,NA,NA,1,0,1,0,1,0,0,1,1,Hindi,IND,,,0,FRN,,,0,,,,,,,,1,0,0,0,1,0,,,,,"Mu?ammad, Fayz?; McChesney, R. D. (1999). Kabul under siege: Fayz Muhammad's account of the 1929 Uprising. Markus Wiener Publishers. p. 87. ISBN 9781558761544.",Qi Jing,Qi Jing,Tongtong,1,He was born to Afghani parents and was not immigrant - his family returned to Afghanistan from exile.
AFG-1933,8242ff73-1e42-11e4-b4cd-db5882bf8def,700,AFG,Hashim Khan,1933-11-08,11/8/1933,1946-05-14,5/14/1946,Regular,Retired Due to Ill Health,Regular,0,OK,M,1884,1953,NA,,NA,,NA,0,2.0999999,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,Heads of States and Governments Since 1945. Edited by Harris M. Lentz,Qi Jing,Qi Jing,Tongtong,0,
AFG-1946,8242ff74-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mahmud Khan Ghazi,1946-05-14,5/14/1946,1953-09-07,9/7/1953,Regular,Irregular,"Removed by Other Government Actors, without Foreign Support",0,OK,M,1888,1959,NA,,NA,,NA,0,3,8,0,NA,NA,1,0,0,0,0,0,1,0,0,,FRN,1926,1929,0,,,,,,,,,,1926,1929,0,0,1,0,0,0,,,,Shah Mahmoud Khan joined his brother in exile in France between 1926 and 1929.,"Adamec, Ludwig W. Historical dictionary of Afghanistan. Scarecrow Press, 2011.;""Sardar Mahmud Shah Khan Ghazi"" , in: Harris M. Lentz: Heads of States and Governments 1945–1992 , 2013, p. 18. (There with year of birth 1888.)",X,Tongtong,,0,
AFG-1953,8242ff75-1e42-11e4-b4cd-db5882bf8def,700,AFG,Sardar Mohammad Daud Khan,1953-09-07,9/7/1953,1963-03-10,3/10/1963,Irregular,Regular,Regular,0,OK,M,1909,1978,7/18/1909,7/18/1909,4/27/1978,4/27/1978,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mohammed-5FDaoud-5FKhan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XXAO5msOAIXKlcq-HHKVhvJ8g8wXR2JZqAUzN1VkamA&e=,1,1,0,0,NA,NA,1,0,1,0,1,0,0,0,1,French,FRN,,,0,,,,,,,,,,,,,,,,,,,,,Mohammed Daoud Khan was edcuated in France in the 1930s. In 1948 he was Afghan ambassador to France.,"Clements, Frank; Adamec, Ludwig W. (2003). Conflict in Afghanistan: A Historical Encyclopedia. ABC-CLIO. p. 67. ISBN 978-1-85109-402-8.",Qi Jing,X,Tongtong,0,
AFG-1963,8242ff76-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Yusuf,1963-03-10,3/10/1963,1965-11-02,11/2/1965,Regular,Regular,Regular,0,OK,M,1917,1998,NA,,NA,,NA,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,"Lentz, Harris M., ed. (2013). ""Afghanistan"". Heads of States and Governments Since 1945. Routledge. ISBN 9781134264971. Retrieved 6 May 2020.",Qi Jing,Qi Jing,Tongtong,1,His ambassador service in the Soviet Union was post-office foreign experience.
AFG-1965,8242ff77-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Hashim Maiwandwal,1965-11-02,11/2/1965,1967-10-11,10/11/1967,Regular,Retired Due to Ill Health,Regular,0,OK,M,1919,1973,NA,,NA,,NA,0,2.0999999,0,0,NA,NA,1,0,1,0,0,0,0,0,0,,UKG,,,0,USA,,,,PAK,,,,,1955,1963,1,0,0,1,0,0,,,,"Mohammad Hashim Maiwandwal served as Ambassador to UK, US, and Pakistan.","Tribute website Archived 2007-12-06 at the Wayback Machine.;Lentz, Harris M. (2014). Heads of States and Governments Since 1945. London: Routledge. p. 19.",Qi Jing,X,Tongtong,0,
AFG-1967-1,8242ff78-1e42-11e4-b4cd-db5882bf8def,700,AFG,Abdallah Yakta,1967-10-11,10/11/1967,1967-11-01,11/1/1967,Regular,Regular,Regular,0,OK,M,1914,2003,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Abdullah-5FYaqta&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=g6G9dahQoDeb-3MJKybKuxIVj001Tn1WRJAit_TG7eU&e=,0,1,0,0,NA,NA,0,0,0,0,0,0,0,0,1,English,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,But he immigrated to US after his political career,"Afghanistan. Brief Biographical Directory. Moscow, 2004.",Qi Jing,Qi Jing,Tongtong,1,"According to the note, he emigrated to the USA after his political career."
AFG-1967-2,82433046-1e42-11e4-b4cd-db5882bf8def,700,AFG,Nur Ahmad Etemadi,1967-11-01,11/1/1967,1971-06-09,6/9/1971,Regular,Regular,Regular,0,OK,M,1921,1979,NA,,NA,,NA,0,1,0,0,NA,NA,1,0,1,0,0,0,0,0,0,,PAK,1964,1965,0,,,,,,,,,,1964,1965,0,0,1,0,0,0,,,,"Nur Ahmad Etemadi served as ambassador to Pakistan, Italy and the Soviet Union.","Garthoff, Raymond L. (1994). Détente and confrontation : American-Soviet relations from Nixon to Reagan (Rev. ed.). Washington, D.C.: Brookings Institution. p. 1007. ISBN 0-8157-3041-1.",Qi Jing,X,Tongtong,1,Ambassador service in Italy and the Soviet Union was post-office experience.
AFG-1971,82433047-1e42-11e4-b4cd-db5882bf8def,700,AFG,Abdul Zahir,1971-06-09,6/9/1971,1972-12-06,12/6/1972,Regular,Regular,Regular,0,OK,M,1910,1982,NA,,NA,,NA,0,1,0,0,NA,NA,1,0,1,0,1,0,0,0,1,English,USA,,,0,KUW,,,0,ITA,,,0,,,,1,0,0,0,1,0,,,,,"Amy Waldman (20 March 2003). ""Kabul Journal; The Afghan Elvis 'Lives' 24 Years After His Death"". The New York Times. Retrieved 3 February 2008.",Qi Jing,Qi Jing,Tongtong,0,
AFG-1972,82433048-1e42-11e4-b4cd-db5882bf8def,700,AFG,Mohammad Musa Shafiq,1972-12-12,12/12/1972,1973-07-17,7/17/1973,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1932,1979,NA,,NA,,NA,0,3,6,2,NA,NA,1,0,0,0,1,0,0,0,1,English,EGY,,,,USA,,,,,,,,,,,1,0,0,1,0,0,,,,,"Biography of Mohammad Musa Shafiq, TasvirAfghanistan.com. Retrieved 20 June 2012.",Qi Jing,Qi Jing,Tongtong,0,
